"","Plot","Microplot","Quad","BandNo","Species","Ht1314","Dia1314","New1516","Status1516","Ht1516","Dia1516","PostFireStatus17","MP.id","X","Distance","Azimuth","Location","dead","deadno","htgrowth","diagrowth","percentht","percentdia","Nearest","Nearestx","Nearesty","Azimuth2","Seedx","Seedy","SeedID","type","nearestneighbor","distancetonearest","BAnearest13","BAnearest10","deadBAnearest13","deadBAnearest10","nearestSpp","nearestcount3","nearestcount5","nearestcount3live","nearestcount5live","nearestcount3dead","nearestcount5dead","liveBArad5","liveBArad3","deadBArad5","deadBArad3","PFliveBArad3","PFdeadBArad3","PFdeadBArad5","LIDE3liveBA","LIDE5liveBA","LIDE3deadBA","LIDE5deadBA","PFLIDE3deadBA","PFLIDE5deadBA","LIDE5livecount","LIDE3livecount","sese3liveBA","sese5liveBA","sese3deadBA","sese5deadBA","sese5livecount","sese3livecount","umca3liveBA","umca5liveBA","umca3deadBA","umca5deadBA","umca5livecount","umca3livecount","qusp3liveBA","qusp5liveBA","qusp3deadBA","qusp5deadBA","qusp5livecount","qusp3livecount","PFqusp3deadBA","PFqusp5deadBA","arme3liveBA","arme5liveBA","arme3deadBA","arme5deadBA","arme5livecount","arme3livecount","conspecBA3","conspecBA5","conspecneigh5","conspecneigh3","heterospecBA3","heterospecBA5","heterospecneigh3","heterospecneigh5"
"3400","BS499","O","-","3584","QUERCUS",36.4,0.9,0,"L",35,0.9,"NO VISIT","O-","otherloc",1.5,"NW","29",0,0,0,0,0,0,"BS499-29",498995.208187939,499003.610891465,315,498994.147528124,499004.671551994,"BS499-3584","seedling","BS499-85",1.1962650055141,0,0,0,0.000176714586764426,"CEOL",7,10,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3401","BS499","O","-","3585","QUERCUS",19.2,0.36,0,"L",16.7,0.35,"NO VISIT","O-","otherloc",3,"W","29",0,0,0,-0.01,0,0,"BS499-29",498995.208187939,499003.610891465,270,498992.208187939,499003.610891465,"BS499-3585","seedling","BS499-30",0.6370293530088,0,0,0,0.000754767635024948,"CEOL",10,14,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3402","BS499","O","-","3586","LIDE",14.9,0.37,0,"L",13.5,0.37,"NO VISIT","O-","otherloc",2,"NW","30",0,0,0,0,0,0,"BS499-30",498991.731095558,499004.033016159,315,498990.316882472,499005.447230197,"BS499-3586","seedling","BS499-86",1.65012863514275,0,0,0,0.000176714586764426,"QUAG",3,9,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3403","BS499","O","-","3587","QUERCUS",10.9,0.24,0,"L",11.5,0.24,"NO VISIT","O-","otherloc",3,"W","29",0,0,0.055045871559633,0,0.055045871559633,0,"BS499-29",498995.208187939,499003.610891465,270,498992.208187939,499003.610891465,"BS499-3587","seedling","BS499-30",0.6370293530088,0,0,0,0.000754767635024948,"CEOL",10,14,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3404","BS499","O","-","3588","QUCH",15.5,0.36,0,"L",17,0.36,"NO VISIT","O-","otherloc",2,"E","29",0,0,0.0967741935483871,0,0.0967741935483871,0,"BS499-29",498995.208187939,499003.610891465,90,498997.208187939,499003.610891465,"BS499-3588","seedling","BS499-28",1.23846963761775,0,0,0,0.00913889302929271,"QUPA",2,15,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3405","BS499","O","-","3589","QUERCUS",14.8,0.5,0,"L",13.1,0.49,"NO VISIT","O-","otherloc",1,"S","39",0,0,0,-0.01,0,0,"BS499-39",499000.798342591,499003.201975813,180,499000.798342591,499002.201975813,"BS499-3589","seedling","BS499-38",0.764476399808377,0,0,0,0.0314159265358979,"QUCH",7,17,0,0,7,17,0,0,0,0,0.00255175863287831,0.00255175863287831,0.00255175863287831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3406","BS499","O","-","3590","LIDE",93,1.37,0,"L",101,1.35,"NO VISIT","O-","otherloc",1.5,"W","48",0,0,0.0860215053763441,-0.02,0.0860215053763441,0,"BS499-48",499002.63022793,499005.392763766,270,499001.13022793,499005.392763766,"BS499-3590","seedling","BS499-44",0.542226255190539,0,0,0,0.00045238934211693,"QUPA",10,17,0,0,10,17,0,0,0,0,0,0,0.00255175863287831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3407","BS499","O","-","3591","LIDE",96.9,1.08,0,"L",95,1.1,"NO VISIT","O-","otherloc",1.5,"N","10",0,0,0,0.02,0,0.0181818181818182,"BS499-10",498995.749998348,498992.638785022,0,498995.749998348,498994.138785022,"BS499-3591","seedling","BS499-12",1.28443505229924,0,0,0,0.102924073118745,"QUPA",5,11,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3408","BS499","O","-","3592","UMCA",10.3,0.33,0,"L",13,0.33,"NO VISIT","O-","otherloc",1,"SE","48",0,0,0.262135922330097,0,0.262135922330097,0,"BS499-48",499002.63022793,499005.392763766,135,499003.337334473,499004.685656747,"BS499-3592","seedling","BS499-32",0.555949766693413,0,0,0,0,"QUPA",11,22,0,0,11,22,0,0,0,0,0.00255175863287831,0.00255175863287831,0.00255175863287831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3409","BS499","O","-","3593","LIDE",96,1.38,0,"L",99,1.39,"NO VISIT","O-","otherloc",2,"N","51",0,0,0.03125,0.01,0.03125,0.00719424460431655,"BS499-51",499003.748920485,499001.074986136,0,499003.748920485,499003.074986136,"BS499-3593","seedling","BS499-49",0.700585516703479,0,0,0,0.00196349540849362,"QUCH",9,22,0,0,9,22,0,0,0,0,0.00255175863287831,0.00255175863287831,0.00255175863287831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
